1,Rogers Park
40,Washington Park
2,West Ridge
41,Hyde Park
3,Uptown
42,Woodlawn
4,Lincoln Square
43,South Shore
5,North Center
44,Chatham
6,Lakeview
45,Avalon Park
7,Lincoln Park
46,South Chicago
8,Near North Side
47,Burnside
9,Edison Park
48,Calumet Heights
10,Norwood Park
49,Roseland
11,Jefferson Park
50,Pullman
12,Forest Glen
51,South Deering
13,North Park
52,East Side
14,Albany Park
53,West Pullman
15,Portage Park
54,Riverdale
16,Irving Park
55,Hegewisch
17,Dunning
56,Garfield Ridge
18,Montclare
57,Archer Heights
19,Belmont Cragin
58,Brighton Park
20,Hermosa
59,McKinley Park
21,Avondale
60,Bridgeport
22,Logan Square
61,New City
23,Humboldt Park
62,West Elsdon
24,West Town
63,Gage Park
25,Austin
64,Clearing
26,West Garfield Park	
65,West Lawn
27,East Garfield Park
66,Chicago Lawn
28,Near West Side	
67,West Englewood
29,North Lawndale	
68,Englewood
30,South Lawndale
69,Greater Grand Crossing
31,Lower West Side
70,Ashburn
32,Loop
71,Auburn Gresham
33,Near South Side
72,Beverly
34,Armour Square
73,Washington Heights
35,Douglas
74,Mount Greenwood
36,Oakland
75,Morgan Park
37,Fuller Park
76,O'Hare
38,Grand Boulevard	
77,Edgewater
39,Kenwood
