ZIP,CRIME,BAR,FOOD,RESIDENTIAL,TOTAL
60601,29,202,2822,1,3025
60605,39,192,2647,1,2840
60607,44,296,4246,2,4544
60608,84,116,4969,35,5120
60609,102,67,3693,17,3777
60610,49,311,3208,4,3523
60612,105,50,2606,16,2672
60613,39,234,3739,7,3980
60614,46,395,6420,1,6816
60615,61,63,1901,13,1977
60616,56,163,3988,8,4159
60617,129,66,3225,5,3296
60618,58,255,5193,4,5452
60619,151,49,3449,4,3502
60620,204,43,3105,7,3155
60621,123,22,1448,9,1479
60622,59,315,5259,18,5592
60623,146,71,4095,12,4178
60624,185,23,1836,34,1893
60625,54,129,4663,2,4794
60626,46,80,2603,4,2687
60628,176,29,3091,10,3130
60629,117,51,3198,6,3255
60630,43,81,2292,2,2375
60631,13,54,1240,1,1295
60632,75,96,4051,2,4149
60633,6,17,306,1,324
60634,50,115,3341,3,3459
60636,156,26,2148,2,2176
60637,110,33,1993,26,2052
60638,37,89,2085,2,2176
60639,99,107,4504,4,4615
60640,56,159,4422,15,4596
60641,70,97,3181,2,3280
60642,22,121,1872,1,1994
60643,76,43,2284,2,2329
60644,157,21,2107,9,2137
60645,18,26,1203,1,1230
60646,12,32,1243,3,1278
60647,82,352,5898,23,6273
60649,129,18,2040,5,2063
60651,135,22,2546,4,2572
60652,27,29,1504,1,1534
60653,43,26,1454,41,1521
60654,34,341,3592,1,3934
60657,45,379,5843,3,6225
60659,33,61,3650,3,3714
60660,20,73,2442,5,2520
60661,17,104,2351,1,2456
60707,19,29,956,4,989
